symbol,source,timeframe,raw_path,processed_path,bar_count,start,end,status,error
AAPL,nasdaq,D1,data_external_equities\raw\nasdaq\AAPL\D1.json,data_external_equities\processed\nasdaq\D1\AAPL.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
AMD,nasdaq,D1,data_external_equities\raw\nasdaq\AMD\D1.json,data_external_equities\processed\nasdaq\D1\AMD.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
AMZN,nasdaq,D1,data_external_equities\raw\nasdaq\AMZN\D1.json,data_external_equities\processed\nasdaq\D1\AMZN.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
AVGO,nasdaq,D1,data_external_equities\raw\nasdaq\AVGO\D1.json,data_external_equities\processed\nasdaq\D1\AVGO.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
GOOGL,nasdaq,D1,data_external_equities\raw\nasdaq\GOOGL\D1.json,data_external_equities\processed\nasdaq\D1\GOOGL.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
META,nasdaq,D1,data_external_equities\raw\nasdaq\META\D1.json,data_external_equities\processed\nasdaq\D1\META.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
MSFT,nasdaq,D1,data_external_equities\raw\nasdaq\MSFT\D1.json,data_external_equities\processed\nasdaq\D1\MSFT.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
MU,nasdaq,D1,data_external_equities\raw\nasdaq\MU\D1.json,data_external_equities\processed\nasdaq\D1\MU.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
NFLX,nasdaq,D1,data_external_equities\raw\nasdaq\NFLX\D1.json,data_external_equities\processed\nasdaq\D1\NFLX.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
NVDA,nasdaq,D1,data_external_equities\raw\nasdaq\NVDA\D1.json,data_external_equities\processed\nasdaq\D1\NVDA.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
ORCL,nasdaq,D1,data_external_equities\raw\nasdaq\ORCL\D1.json,data_external_equities\processed\nasdaq\D1\ORCL.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
PLTR,nasdaq,D1,data_external_equities\raw\nasdaq\PLTR\D1.json,data_external_equities\processed\nasdaq\D1\PLTR.csv,1393,2020-09-30 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
QQQ,nasdaq,D1,data_external_equities\raw\nasdaq\QQQ\D1.json,data_external_equities\processed\nasdaq\D1\QQQ.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
SNDK,nasdaq,D1,data_external_equities\raw\nasdaq\SNDK\D1.json,data_external_equities\processed\nasdaq\D1\SNDK.csv,296,2025-02-13 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
SPY,nasdaq,D1,data_external_equities\raw\nasdaq\SPY\D1.json,data_external_equities\processed\nasdaq\D1\SPY.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
TSLA,nasdaq,D1,data_external_equities\raw\nasdaq\TSLA\D1.json,data_external_equities\processed\nasdaq\D1\TSLA.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
TSM,nasdaq,D1,data_external_equities\raw\nasdaq\TSM\D1.json,data_external_equities\processed\nasdaq\D1\TSM.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
XLY,nasdaq,D1,data_external_equities\raw\nasdaq\XLY\D1.json,data_external_equities\processed\nasdaq\D1\XLY.csv,2514,2016-04-20 00:00:00+00:00,2026-04-20 00:00:00+00:00,ok,
