name,description,source,trade_contract_size,volume_min,volume_step,point,digits,cost_bps,slippage_bps
NVDA,Nasdaq historical daily NVDA,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
MU,Nasdaq historical daily MU,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
AMD,Nasdaq historical daily AMD,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
TSM,Nasdaq historical daily TSM,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
SNDK,Nasdaq historical daily SNDK,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
QQQ,Nasdaq historical daily QQQ,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
SPY,Nasdaq historical daily SPY,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
XLY,Nasdaq historical daily XLY,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
ORCL,Nasdaq historical daily ORCL,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
MSFT,Nasdaq historical daily MSFT,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
PLTR,Nasdaq historical daily PLTR,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
NFLX,Nasdaq historical daily NFLX,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
META,Nasdaq historical daily META,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
AAPL,Nasdaq historical daily AAPL,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
TSLA,Nasdaq historical daily TSLA,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
GOOGL,Nasdaq historical daily GOOGL,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
AMZN,Nasdaq historical daily AMZN,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
AVGO,Nasdaq historical daily AVGO,nasdaq,1.0,1.0,1.0,0.01,2,1.0,5.0
