,equity
2024-09-12 00:00:00+00:00,100000.0
2024-09-13 00:00:00+00:00,100000.0
2024-09-15 00:00:00+00:00,100000.0
2024-09-16 00:00:00+00:00,100000.0
2024-09-17 00:00:00+00:00,100000.0
2024-09-18 00:00:00+00:00,100000.0
2024-09-19 00:00:00+00:00,100000.0
2024-09-20 00:00:00+00:00,100000.0
2024-09-22 00:00:00+00:00,100000.0
2024-09-23 00:00:00+00:00,100000.0
2024-09-24 00:00:00+00:00,100000.0
2024-09-25 00:00:00+00:00,100000.0
2024-09-26 00:00:00+00:00,100000.0
2024-09-27 00:00:00+00:00,100000.0
2024-09-29 00:00:00+00:00,100000.0
2024-09-30 00:00:00+00:00,100000.0
2024-10-01 00:00:00+00:00,100000.0
2024-10-02 00:00:00+00:00,100000.0
2024-10-03 00:00:00+00:00,100000.0
2024-10-04 00:00:00+00:00,100000.0
2024-10-06 00:00:00+00:00,100000.0
2024-10-07 00:00:00+00:00,100000.0
2024-10-08 00:00:00+00:00,100000.0
2024-10-09 00:00:00+00:00,100000.0
2024-10-10 00:00:00+00:00,100000.0
2024-10-11 00:00:00+00:00,100000.0
2024-10-13 00:00:00+00:00,100000.0
2024-10-14 00:00:00+00:00,100000.0
2024-10-15 00:00:00+00:00,100000.0
2024-10-16 00:00:00+00:00,100000.0
2024-10-17 00:00:00+00:00,100000.0
2024-10-18 00:00:00+00:00,100344.111407452
2024-10-20 00:00:00+00:00,100355.16046404402
2024-10-21 00:00:00+00:00,100305.79164404402
2024-10-22 00:00:00+00:00,100946.028364044
2024-10-23 00:00:00+00:00,99941.829402648
2024-10-24 00:00:00+00:00,100434.06786264801
2024-10-25 00:00:00+00:00,100949.49855264802
2024-10-27 00:00:00+00:00,100511.15367264801
2024-10-28 00:00:00+00:00,100847.968992648
2024-10-29 00:00:00+00:00,102040.354672648
2024-10-30 00:00:00+00:00,102453.942922648
2024-10-31 00:00:00+00:00,100936.514032648
2024-11-01 00:00:00+00:00,100545.37492264801
2024-11-03 00:00:00+00:00,100610.375742648
2024-11-04 00:00:00+00:00,100518.50635264801
2024-11-05 00:00:00+00:00,100898.029792648
2024-11-06 00:00:00+00:00,98562.57880201002
2024-11-07 00:00:00+00:00,98562.57880201002
2024-11-08 00:00:00+00:00,98562.57880201002
2024-11-10 00:00:00+00:00,98562.57880201002
2024-11-11 00:00:00+00:00,98562.57880201002
2024-11-12 00:00:00+00:00,98839.29369481001
2024-11-13 00:00:00+00:00,99471.48974025398
2024-11-14 00:00:00+00:00,99600.518257918
2024-11-15 00:00:00+00:00,99735.43515791798
2024-11-17 00:00:00+00:00,99443.355517918
2024-11-18 00:00:00+00:00,98028.03260791798
2024-11-19 00:00:00+00:00,97256.91214791799
2024-11-20 00:00:00+00:00,97009.9623706033
2024-11-21 00:00:00+00:00,97009.9623706033
2024-11-22 00:00:00+00:00,97009.9623706033
2024-11-24 00:00:00+00:00,97009.9623706033
2024-11-25 00:00:00+00:00,97009.9623706033
2024-11-26 00:00:00+00:00,97009.9623706033
2024-11-27 00:00:00+00:00,97009.9623706033
2024-11-28 00:00:00+00:00,97009.9623706033
2024-11-29 00:00:00+00:00,97009.9623706033
2024-12-01 00:00:00+00:00,97009.9623706033
2024-12-02 00:00:00+00:00,97009.9623706033
2024-12-03 00:00:00+00:00,97009.9623706033
2024-12-04 00:00:00+00:00,97009.9623706033
